subject,Classifier,number of sensors,logloss,participant
8,RDA,5,0.371877044,Able-bodied
8,QDA,5,0.422419751,Able-bodied
8,LDA,6,0.375237942,Able-bodied
8,RDA,6,0.331446544,Able-bodied
8,QDA,6,0.456023894,Able-bodied
8,LDA,7,0.362980463,Able-bodied
8,RDA,7,0.362980463,Able-bodied
8,QDA,7,0.547725536,Able-bodied
8,LDA,8,0.360588385,Able-bodied
8,RDA,8,0.360588385,Able-bodied
8,QDA,8,0.547363348,Able-bodied
8,LDA,9,0.355575567,Able-bodied
8,RDA,9,0.355575567,Able-bodied
8,QDA,9,0.564541501,Able-bodied
8,LDA,10,0.341842689,Able-bodied
8,RDA,10,0.341842689,Able-bodied
8,QDA,10,0.555093534,Able-bodied
8,LDA,11,0.338149184,Able-bodied
8,RDA,11,0.338149184,Able-bodied
8,QDA,11,0.564711787,Able-bodied
8,LDA,12,0.32364205,Able-bodied
8,RDA,12,0.32364205,Able-bodied
8,QDA,12,0.552758007,Able-bodied
8,LDA,13,0.31798046,Able-bodied
8,RDA,13,0.31798046,Able-bodied
8,QDA,13,0.535627601,Able-bodied
8,LDA,14,0.304233031,Able-bodied
8,RDA,14,0.304233031,Able-bodied
8,QDA,14,0.522979289,Able-bodied
8,LDA,15,0.308462885,Able-bodied
8,RDA,15,0.308462885,Able-bodied
8,QDA,15,0.529603801,Able-bodied
8,LDA,16,0.298397505,Able-bodied
8,RDA,16,0.298397505,Able-bodied
8,QDA,16,0.523669233,Able-bodied
9,LDA,1,0.960575771,Able-bodied
9,RDA,1,0.661920722,Able-bodied
9,QDA,1,0.890173136,Able-bodied
9,LDA,2,0.77412411,Able-bodied
9,RDA,2,0.573395548,Able-bodied
9,QDA,2,0.511296466,Able-bodied
9,LDA,3,0.56799913,Able-bodied
9,RDA,3,0.450380014,Able-bodied
9,QDA,3,0.413375372,Able-bodied
9,LDA,4,0.455133454,Able-bodied
9,RDA,4,0.351196486,Able-bodied
9,QDA,4,0.410461868,Able-bodied
9,LDA,5,0.387743014,Able-bodied
9,RDA,5,0.322649201,Able-bodied
9,QDA,5,0.422641847,Able-bodied
9,LDA,6,0.370330599,Able-bodied
9,RDA,6,0.316701681,Able-bodied
9,QDA,6,0.432588504,Able-bodied
9,LDA,7,0.323481763,Able-bodied
9,RDA,7,0.297414241,Able-bodied
9,QDA,7,0.449683942,Able-bodied
9,LDA,8,0.312118624,Able-bodied
9,RDA,8,0.29069247,Able-bodied
9,QDA,8,0.428321186,Able-bodied
9,LDA,9,0.317121158,Able-bodied
9,RDA,9,0.308375701,Able-bodied
9,QDA,9,0.445519527,Able-bodied
9,LDA,10,0.334541516,Able-bodied
9,RDA,10,0.319459169,Able-bodied
9,QDA,10,0.44507156,Able-bodied
9,LDA,11,0.333417851,Able-bodied
9,RDA,11,0.320437032,Able-bodied
9,QDA,11,0.461742604,Able-bodied
9,LDA,12,0.317772841,Able-bodied
9,RDA,12,0.317772841,Able-bodied
9,QDA,12,0.457110192,Able-bodied
9,LDA,13,0.300386994,Able-bodied
9,RDA,13,0.300386994,Able-bodied
9,QDA,13,0.47942803,Able-bodied
9,LDA,14,0.29674526,Able-bodied
9,RDA,14,0.29674526,Able-bodied
9,QDA,14,0.473054486,Able-bodied
9,LDA,15,0.297628154,Able-bodied
9,RDA,15,0.297628154,Able-bodied
9,QDA,15,0.477512884,Able-bodied
9,LDA,16,0.303020866,Able-bodied
9,RDA,16,0.303020866,Able-bodied
9,QDA,16,0.497595721,Able-bodied
