subject,Classifier,number of sensors,accuracy,logloss,participant
6,LDA,4,89.52509979999999,0.54758125,Able-bodied
6,RDA,4,92.7695379,0.434092314,Able-bodied
6,QDA,4,96.08528240000001,0.61882132,Able-bodied
6,LDA,5,93.7179122,0.42618096299999997,Able-bodied
6,RDA,5,95.393611,0.36944898299999995,Able-bodied
6,QDA,5,96.5772961,0.7439234579999999,Able-bodied
6,LDA,6,94.5878494,0.40384811600000003,Able-bodied
6,RDA,6,95.7144894,0.356606904,Able-bodied
6,QDA,6,96.5059897,0.845070016,Able-bodied
6,LDA,7,95.3864803,0.38258006899999997,Able-bodied
6,RDA,7,96.08528240000001,0.353748925,Able-bodied
6,QDA,7,96.69138620000001,0.866363358,Able-bodied
6,LDA,8,95.4934398,0.38149911,Able-bodied
6,RDA,8,96.18511120000001,0.36209699799999995,Able-bodied
6,QDA,8,96.7626925,0.8685132990000001,Able-bodied
6,LDA,9,96.0211067,0.375233141,Able-bodied
6,RDA,9,96.4132915,0.362874507,Able-bodied
6,QDA,9,96.7056475,0.893022843,Able-bodied
6,LDA,10,96.04249859999999,0.375643529,Able-bodied
6,RDA,10,96.2778095,0.36782242,Able-bodied
6,QDA,10,96.8839133,0.884744667,Able-bodied
6,LDA,11,96.5273816,0.385825776,Able-bodied
6,RDA,11,96.5273816,0.385825776,Able-bodied
6,QDA,11,96.9766115,0.8730300009999999,Able-bodied
6,LDA,12,96.7555619,0.381083512,Able-bodied
6,RDA,12,96.7555619,0.381083512,Able-bodied
6,QDA,12,97.1334855,0.8513336459999999,Able-bodied
6,LDA,13,96.7127781,0.399311365,Able-bodied
6,RDA,13,96.7127781,0.399311365,Able-bodied
6,QDA,13,97.19053050000001,0.847088218,Able-bodied
6,LDA,14,96.81973759999998,0.39971832700000004,Able-bodied
6,RDA,14,96.81973759999998,0.39971832700000004,Able-bodied
6,QDA,14,97.240445,0.848791518,Able-bodied
6,LDA,15,96.9053052,0.415012049,Able-bodied
6,RDA,15,96.9053052,0.415012049,Able-bodied
6,QDA,15,97.19053050000001,0.8786764770000001,Able-bodied
6,LDA,16,96.8839133,0.424367572,Able-bodied
6,RDA,16,96.8839133,0.424367572,Able-bodied
6,QDA,16,97.1548774,0.8937129140000001,Able-bodied
7,LDA,1,70.53093700000001,0.971807002,Able-bodied
7,RDA,1,78.98888740000001,0.7288582109999999,Able-bodied
7,QDA,1,82.638222,0.996971913,Able-bodied
7,LDA,2,82.1511867,0.783587774,Able-bodied
7,RDA,2,88.99025929999999,0.649994524,Able-bodied
7,QDA,2,93.2638222,0.857220312,Able-bodied
7,LDA,3,87.9681712,0.6134902320000001,Able-bodied
7,RDA,3,92.7493483,0.574326612,Able-bodied
7,QDA,3,95.2394018,0.95071435,Able-bodied
7,LDA,4,92.6121553,0.488164914,Able-bodied
7,RDA,4,95.2462615,0.5584246620000001,Able-bodied
7,QDA,4,97.1875429,0.73993812,Able-bodied
7,LDA,5,94.36136640000001,0.45186513899999997,Able-bodied
7,RDA,5,95.9185073,0.559080033,Able-bodied
7,QDA,5,97.283578,0.740226068,Able-bodied
7,LDA,6,96.52215670000001,0.42461892,Able-bodied
7,RDA,6,97.0846481,0.513720343,Able-bodied
7,QDA,6,97.4893675,0.727228647,Able-bodied
7,LDA,7,96.830841,0.438910477,Able-bodied
7,RDA,7,97.26299900000001,0.525303176,Able-bodied
7,QDA,7,97.64027990000001,0.7135459209999999,Able-bodied
7,LDA,8,97.125806,0.45714004700000005,Able-bodied
7,RDA,8,97.3453149,0.549572488,Able-bodied
7,QDA,8,97.6882974,0.7216859,Able-bodied
7,LDA,9,97.25613940000001,0.481171536,Able-bodied
7,RDA,9,97.3864728,0.569804039,Able-bodied
7,QDA,9,97.6814378,0.735573025,Able-bodied
7,LDA,10,97.31101659999999,0.49383235700000006,Able-bodied
7,RDA,10,97.4001921,0.557223143,Able-bodied
7,QDA,10,97.64027990000001,0.750891599,Able-bodied
7,LDA,11,97.32473590000001,0.50106317,Able-bodied
7,RDA,11,97.3864728,0.560751027,Able-bodied
7,QDA,11,97.6814378,0.7449155829999999,Able-bodied
7,LDA,12,97.26299900000001,0.522804535,Able-bodied
7,RDA,12,97.3658938,0.55509417,Able-bodied
7,QDA,12,97.6334202,0.7661277540000001,Able-bodied
7,LDA,13,97.3178763,0.528373581,Able-bodied
7,RDA,13,97.3933324,0.550761289,Able-bodied
7,QDA,13,97.6128413,0.7695386809999999,Able-bodied
7,LDA,14,97.35903420000001,0.532369333,Able-bodied
7,RDA,14,97.3727535,0.545930578,Able-bodied
7,QDA,14,97.62656059999999,0.768418198,Able-bodied
7,LDA,15,97.3796131,0.5400735529999999,Able-bodied
7,RDA,15,97.3796131,0.54219835,Able-bodied
7,QDA,15,97.6128413,0.778774091,Able-bodied
7,LDA,16,97.3796131,0.545691533,Able-bodied
7,RDA,16,97.3796131,0.545691533,Able-bodied
7,QDA,16,97.62656059999999,0.7713141990000001,Able-bodied
8,LDA,1,80.6993412,0.905227638,Able-bodied
8,RDA,1,88.01129370000001,0.473976543,Able-bodied
8,QDA,1,89.22753929999999,0.607759164,Able-bodied
8,LDA,2,90.2700355,0.599126271,Able-bodied
8,RDA,2,94.1721567,0.38106427600000004,Able-bodied
8,QDA,2,95.56215159999999,0.534612498,Able-bodied
8,LDA,3,92.058206,0.504518245,Able-bodied
8,RDA,3,94.7585608,0.37095497899999996,Able-bodied
8,QDA,3,97.270687,0.515529412,Able-bodied
8,LDA,4,94.411062,0.422269726,Able-bodied
8,RDA,4,95.47527690000001,0.36160847399999996,Able-bodied
8,QDA,4,98.14667340000001,0.450600281,Able-bodied
8,LDA,5,94.7947586,0.41477546200000004,Able-bodied
8,RDA,5,95.4535582,0.371877044,Able-bodied
8,QDA,5,98.4072975,0.422419751,Able-bodied
8,LDA,6,95.2653298,0.37523794200000005,Able-bodied
8,RDA,6,96.25714909999999,0.331446544,Able-bodied
8,QDA,6,98.4072975,0.456023894,Able-bodied
8,LDA,7,95.8082965,0.362980463,Able-bodied
8,RDA,7,95.8082965,0.362980463,Able-bodied
8,QDA,7,98.1249548,0.5477255360000001,Able-bodied
8,LDA,8,96.1195975,0.360588385,Able-bodied
8,RDA,8,96.1195975,0.360588385,Able-bodied
8,QDA,8,98.153913,0.547363348,Able-bodied
8,LDA,9,96.3223051,0.35557556700000004,Able-bodied
8,RDA,9,96.3223051,0.35557556700000004,Able-bodied
8,QDA,9,98.1756317,0.564541501,Able-bodied
8,LDA,10,96.9883443,0.341842689,Able-bodied
8,RDA,10,96.9883443,0.341842689,Able-bodied
8,QDA,10,98.2480272,0.5550935339999999,Able-bodied
8,LDA,11,97.02454209999999,0.338149184,Able-bodied
8,RDA,11,97.02454209999999,0.338149184,Able-bodied
8,QDA,11,98.1973503,0.564711787,Able-bodied
8,LDA,12,97.41547820000001,0.32364205,Able-bodied
8,RDA,12,97.41547820000001,0.32364205,Able-bodied
8,QDA,12,98.3131832,0.552758007,Able-bodied
8,LDA,13,97.6905813,0.31798046,Able-bodied
8,RDA,13,97.6905813,0.31798046,Able-bodied
8,QDA,13,98.3421415,0.5356276010000001,Able-bodied
8,LDA,14,98.0018823,0.30423303100000004,Able-bodied
8,RDA,14,98.0018823,0.30423303100000004,Able-bodied
8,QDA,14,98.40005790000001,0.522979289,Able-bodied
8,LDA,15,98.0959965,0.308462885,Able-bodied
8,RDA,15,98.0959965,0.308462885,Able-bodied
8,QDA,15,98.3783392,0.529603801,Able-bodied
8,LDA,16,98.29146459999998,0.298397505,Able-bodied
8,RDA,16,98.29146459999998,0.298397505,Able-bodied
8,QDA,16,98.414537,0.523669233,Able-bodied
9,LDA,1,78.9656169,0.9605757709999999,Able-bodied
9,RDA,1,84.72262350000001,0.6619207220000001,Able-bodied
9,QDA,1,87.113551,0.8901731359999999,Able-bodied
9,LDA,2,84.4625831,0.77412411,Able-bodied
9,RDA,2,88.8182606,0.5733955479999999,Able-bodied
9,QDA,2,94.8569778,0.511296466,Able-bodied
9,LDA,3,90.956371,0.56799913,Able-bodied
9,RDA,3,93.3545218,0.450380014,Able-bodied
9,QDA,3,97.1756718,0.413375372,Able-bodied
9,LDA,4,93.93961279999999,0.455133454,Able-bodied
9,RDA,4,95.50707890000001,0.35119648600000003,Able-bodied
9,QDA,4,98.2158336,0.41046186799999995,Able-bodied
9,LDA,5,95.3987287,0.387743014,Able-bodied
9,RDA,5,96.1860734,0.322649201,Able-bodied
9,QDA,5,98.26639700000001,0.422641847,Able-bodied
9,LDA,6,95.7960127,0.370330599,Able-bodied
9,RDA,6,96.4172205,0.316701681,Able-bodied
9,QDA,6,98.38197050000001,0.432588504,Able-bodied
9,LDA,7,96.4677839,0.32348176300000003,Able-bodied
9,RDA,7,96.7783877,0.297414241,Able-bodied
9,QDA,7,98.38197050000001,0.449683942,Able-bodied
9,LDA,8,96.7639411,0.312118624,Able-bodied
9,RDA,8,96.93730140000001,0.29069247,Able-bodied
9,QDA,8,98.4397573,0.428321186,Able-bodied
9,LDA,9,96.7783877,0.317121158,Able-bodied
9,RDA,9,97.01675820000001,0.308375701,Able-bodied
9,QDA,9,98.44698059999999,0.445519527,Able-bodied
9,LDA,10,96.91563129999999,0.33454151600000004,Able-bodied
9,RDA,10,97.14677840000002,0.319459169,Able-bodied
9,QDA,10,98.4686507,0.44507156,Able-bodied
9,LDA,11,97.0023115,0.333417851,Able-bodied
9,RDA,11,97.14677840000002,0.320437032,Able-bodied
9,QDA,11,98.4614273,0.461742604,Able-bodied
9,LDA,12,97.6451893,0.31777284100000003,Able-bodied
9,RDA,12,97.6451893,0.31777284100000003,Able-bodied
9,QDA,12,98.5264374,0.457110192,Able-bodied
9,LDA,13,97.9485698,0.30038699399999996,Able-bodied
9,RDA,13,97.9485698,0.30038699399999996,Able-bodied
9,QDA,13,98.454204,0.47942803,Able-bodied
9,LDA,14,98.1074834,0.29674526,Able-bodied
9,RDA,14,98.1074834,0.29674526,Able-bodied
9,QDA,14,98.4830974,0.473054486,Able-bodied
9,LDA,15,98.1291534,0.297628154,Able-bodied
9,RDA,15,98.1291534,0.297628154,Able-bodied
9,QDA,15,98.4903207,0.47751288399999997,Able-bodied
9,LDA,16,98.1074834,0.303020866,Able-bodied
9,RDA,16,98.1074834,0.303020866,Able-bodied
9,QDA,16,98.4397573,0.497595721,Able-bodied
10,LDA,1,72.31794649999999,1.039651868,Able-bodied
10,RDA,1,76.4589095,0.801227985,Able-bodied
10,QDA,1,79.7915337,1.007734022,Able-bodied
10,LDA,2,78.7492023,0.939491574,Able-bodied
10,RDA,2,83.9892222,0.7666515859999999,Able-bodied
10,QDA,2,90.4275686,0.938563464,Able-bodied
10,LDA,3,85.25845559999999,0.709981874,Able-bodied
10,RDA,3,88.9030703,0.619419584,Able-bodied
10,QDA,3,93.54038150000001,0.848409517,Able-bodied
10,LDA,4,89.6901369,0.558544611,Able-bodied
10,RDA,4,92.3349642,0.51329765,Able-bodied
10,QDA,4,95.9866695,0.771783911,Able-bodied
10,LDA,5,90.739559,0.515053224,Able-bodied
10,RDA,5,92.54768490000001,0.520041578,Able-bodied
10,QDA,5,96.3057505,0.7766678909999999,Able-bodied
10,LDA,6,92.2286038,0.48551279299999994,Able-bodied
10,RDA,6,94.4408991,0.505194916,Able-bodied
10,QDA,6,96.7311919,0.770720498,Able-bodied
10,LDA,7,93.0865773,0.485101788,Able-bodied
10,RDA,7,94.1785436,0.554865986,Able-bodied
10,QDA,7,97.2062682,0.7298550009999999,Able-bodied
10,LDA,8,93.9587322,0.465536138,Able-bodied
10,RDA,8,94.8592498,0.550972123,Able-bodied
10,QDA,8,97.1495427,0.7739188359999999,Able-bodied
10,LDA,9,94.5047153,0.450299846,Able-bodied
10,RDA,9,95.0648798,0.550028851,Able-bodied
10,QDA,9,97.2062682,0.768896754,Able-bodied
10,LDA,10,95.5825002,0.460196736,Able-bodied
10,RDA,10,96.05757640000002,0.529089487,Able-bodied
10,QDA,10,97.3126285,0.7630262109999999,Able-bodied
10,LDA,11,96.17811809999999,0.442339837,Able-bodied
10,RDA,11,96.3482947,0.548282742,Able-bodied
10,QDA,11,97.3126285,0.7849010409999999,Able-bodied
10,LDA,12,96.4901085,0.463662432,Able-bodied
10,RDA,12,96.3695668,0.558581757,Able-bodied
10,QDA,12,97.3622633,0.781267945,Able-bodied
10,LDA,13,96.7737361,0.477176924,Able-bodied
10,RDA,13,96.88718709999999,0.496644808,Able-bodied
10,QDA,13,97.3055378,0.7939092940000001,Able-bodied
10,LDA,14,96.9297313,0.482284162,Able-bodied
10,RDA,14,96.90845920000001,0.501707355,Able-bodied
10,QDA,14,97.33390059999999,0.802165219,Able-bodied
10,LDA,15,96.936822,0.481166795,Able-bodied
10,RDA,15,96.9297313,0.49704773700000004,Able-bodied
10,QDA,15,97.3197192,0.812245054,Able-bodied
10,LDA,16,96.9793661,0.483147227,Able-bodied
10,RDA,16,96.9297313,0.492774715,Able-bodied
10,QDA,16,97.29844709999999,0.83506621,Able-bodied
11,LDA,1,76.4411204,0.782068403,Able-bodied
11,RDA,1,85.01375859999999,0.630734264,Able-bodied
11,QDA,1,86.14266559999999,0.911428345,Able-bodied
11,LDA,2,86.34728000000001,0.5573755779999999,Able-bodied
11,RDA,2,88.3087561,0.50440194,Able-bodied
11,QDA,2,92.8526071,0.841971678,Able-bodied
11,LDA,3,91.4696959,0.416090536,Able-bodied
11,RDA,3,94.51774499999999,0.418570125,Able-bodied
11,QDA,3,95.5690397,0.69711686,Able-bodied
11,LDA,4,94.98341920000001,0.314690558,Able-bodied
11,RDA,4,95.8442108,0.362448114,Able-bodied
